"mybibtex_key","Author(s)","Title","Outlet","DOI","Cluster","Year of publication","closeness_centrality"
"clarke_swashbuckling_2017","clarke e;heyes c","the swashbuckling anthropologist: henrich on the secret of our success","biology \& philosophy","10.1007/s10539-016-9554-y",1,2017,0.575895440452137
"purzycki_anthrotools_2017","purzycki bg;jamieson-lane a","anthrotools: an r package for cross-cultural ethnographic data analysis","cross-cultural research","10.1177/1069397116680352",1,2017,0.280825623172413
"bendixen_peering_2017","bendixen t;purzycki bg","peering into the minds of gods: what cross-cultural variation in gods' concerns can tell us about the evolution of religion","journal for the cognitive science of religion","10.1558/jcsr.40951",1,2017,0.535436420577708
"hays_theological_2017","hays c;burdett m","a theological cartography of cultural evolution","theology and science","10.1080/14746700.2017.1369760",1,2017,0.656334422187183
"kressing_lateral_2016","kressing f","lateral and vertical transfer in biology, linguistics and anthropology: an account of widely neglected ideas in the formation of evolutionary theories","evolutionary biology","10.1007/s11692-015-9330-y",1,2016,0.53111302687519
"little_how_2016","little cajl;lancy df","how do children become workers? making sense of conflicting accounts of cultural transmission in anthropology and psychology","ethos","10.1111/etho.12131",1,2016,0.508691167083059
"scanlon_study_2016","scanlon la","study of knots in material culture","journal of knot theory and its ramifications","10.1142/s0218216516410157",1,2016,0.845901143196908
"morin_reasons_2016","morin o","reasons to be fussy about cultural evolution","biology \& philosophy","10.1007/s10539-016-9516-4",1,2016,0.75202151237586
"capocasa_between_2016","capocasa m;mccuen v;venier b;rufo f","between universal and local: towards an evolutionary anthropology of emotions","anthropological notebooks","NA",1,2016,0.650274112074191
"tennie_island_2016","tennie c;braun dr;premo ls;mcpherron sp","the island test for cumulative culture in the paleolithic","nature of culture","10.1007/978-94-017-7426-0\_11",1,2016,0.801533916170543
"henrich_big_2015","henrich j;chudek m;boyd r","the big man mechanism: how prestige fosters cooperation and creates prosocial leaders","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2015.0013",1,2015,0.760072941401827
"luncz_primate_2015","luncz lv;wittig rm;boesch c","primate archaeology reveals cultural transmission in wild chimpanzees (pan troglodytes verus)","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2014.0348",1,2015,0.470109515792062
"ellis_ecology_2015","ellis ec","ecology in an anthropogenic biosphere","ecological monographs","10.1890/14-2274.1",1,2015,0.873937824344226
"acerbi_if_2015","acerbi a;mesoudi a","if we are all cultural darwinians what's the fuss about? clarifying recent disagreements in the field of cultural evolution","biology \& philosophy","10.1007/s10539-015-9490-2",1,2015,0.873341757402678
"haidle_nature_2015","haidle mn;bolus m;collard m;conard nj;garofoli d;lombard m;nowell a;tennie c;whiten a","the nature of culture: an eight-grade model for the evolution and expansion of cultural capacities in hominins and other animals","journal of anthropological sciences","10.4436/jass.93011",1,2015,0.708210819348681
"hrotic_evolution_2014","hrotic s","the evolution and extinction of science fiction","public understanding of science","10.1177/0963662513478898",1,2014,0.515154707935032
"dean_human_2014","dean lg;vale gl;laland kn;flynn e;kendal rl","human cumulative culture: a comparative perspective","biological reviews","10.1111/brv.12053",1,2014,0.810270459457697
"abel_culture_2014","abel t","culture in cycles: considering h. t. odum's `information cycle'","international journal of general systems","10.1080/03081079.2013.852188",1,2014,0.58038390353091
"vaesen_modelling_2014","vaesen k;houkes w","modelling the truth of scientific beliefs with cultural evolutionary theory","synthese","10.1007/s11229-013-0257-5",1,2014,0.901015545577559
"kline_teaching_2013","kline ma;boyd r;henrich j","teaching and the life history of cultural transmission in fijian villages","human nature-an interdisciplinary biosocial perspective","10.1007/s12110-013-9180-1",1,2013,0.780828816642607
"mullins_role_2013","mullins da;whitehouse h;atkinson qd","the role of writing and recordkeeping in the cultural evolution of human cooperation","journal of economic behavior \& organization","10.1016/j.jebo.2012.12.017",1,2013,0.604203656219527
"gong_multidisciplinary_2013","gong t;shuai l;wu y","multidisciplinary approaches in evolutionary linguistics","language sciences","10.1016/j.langsci.2012.09.002",1,2013,0.306258806313121
"laor_evolution_2013","laor y;jablonka e","the evolution and development of culture","history and theory","10.1111/hith.10669",1,2013,0.948860125579006
"smith_agency_2013","smith ea","agency and adaptation: new directions in evolutionary anthropology","annual review of anthropology, vol 42","10.1146/annurev-anthro-092412-155447",1,2013,0.769186351446748
"guillo_does_2012","guillo d","does culture evolve by means of darwinian selection? the lessons of candide's travels","social science information sur les sciences sociales","10.1177/0539018412441754",1,2012,0.802566322348669
"heyes_new_2012","heyes c","new thinking: the evolution of human cognition introduction","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2012.0111",1,2012,0.378804866865694
"vaesen_cumulative_2012","vaesen k","cumulative cultural evolution and demography","plos one","10.1371/journal.pone.0040989",1,2012,0.927326837142738
"whitehouse_seeking_2012","whitehouse h;cohen e","seeking a rapprochement between anthropology and the cognitive sciences: a problem-driven approach","topics in cognitive science","10.1111/j.1756-8765.2012.01203.x",1,2012,0.555540500140019
"tucker_do_2012","tucker b","do risk and time experimental choices represent individual strategies for coping with poverty or conformity to social norms? evidence from rural southwestern madagascar","current anthropology","10.1086/664569",1,2012,0.727611019800787
"sell_importance_2012","sell a;hone lse;pound n","the importance of physical strength to human males","human nature-an interdisciplinary biosocial perspective","10.1007/s12110-012-9131-2",1,2012,0.280219711895966
"wengrow_cognition_2011","wengrow d","cognition, materiality and monsters: the cultural transmission of counter-intuitive forms in bronze age societies","journal of material culture","10.1177/1359183511402276",1,2011,0.497307296107099
"stuart-fox_constructing_2011","stuart-fox m","constructing a selectionist paradigm","history and theory","10.1111/j.1468-2303.2011.00580.x",1,2011,0.560887576445524
"currie_mode_2011","currie te;mace r","mode and tempo in the evolution of socio-political organization: reconciling `darwinian' and `spencerian' evolutionary approaches in anthropology","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2010.0318",1,2011,0.824887670254241
"whiten_culture_2011","whiten a;hinde ra;laland kn;stringer cb","culture evolves introduction","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2010.0372",1,2011,0.859990783999092
"fitch_genes_2011","fitch wt","genes, language, cognition, and culture: towards productive inquiry","human biology","10.3378/027.083.0210",1,2011,0.540856835913154
"stout_technology_2011","stout d;passingham r;frith c;apel j;chaminade t","technology, expertise and social cognition in human evolution","european journal of neuroscience","10.1111/j.1460-9568.2011.07619.x",1,2011,0.535312175960933
"arbib_mirror_2011","arbib ma","from mirror neurons to complex imitation in the evolution of language and tool use","annual review of anthropology, vol 40","10.1146/annurev-anthro-081309-145722",1,2011,0.60656956386816
"atkinson_cultural_2011","atkinson qd;whitehouse h","the cultural morphospace of ritual form examining modes of religiosity cross-culturally","evolution and human behavior","10.1016/j.evolhumbehav.2010.09.002",1,2011,0.383768777006072
"boyer_intuitive_2011","boyer p","intuitive expectations and the detection of mental disorder: a cognitive background to folk-psychiatries","philosophical psychology","10.1080/09515089.2010.529049",1,2011,0.600725671886255
"mesoudi_how_2009","mesoudi a","how cultural evolutionary theory can inform social psychology and vice versa","psychological review","10.1037/a0017062",1,2009,0.878364988561805
"nordin_good-death_2009","nordin a","good-death beliefs and cognition in himalayan pilgrimage","method \& theory in the study of religion","10.1163/094330509x12568874557216",1,2009,0.537480619143618
"tofalvy_use_2009","tofalvy t;viciana h","the use of supernatural entities in moral conversations as a cultural-psychological attractor","values, empathy, and fairness across social barriers","10.1111/j.1749-6632.2009.04603.x",1,2009,0.535208654436583
"griffiths_theoretical_2008","griffiths tl;kalish ml;lewandowsky s","theoretical and empirical evidence for the impact of inductive biases on cultural evolution","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2008.0146",1,2008,0.744816373223043
"cohen_conceptualizing_2008","cohen e;barrett jl","conceptualizing spirit possession: ethnographic and experimental evidence","ethos","10.1111/j.1548-1352.2008.00013.x",1,2008,0.546399924632685
"poirot_eat_2008","poirot cs","eat grubs and live: the habit-instinct problem in institutional evolutionary economics","journal of economic issues","10.1080/00213624.2008.11507149",1,2008,0.403328059067931
"perry_what_2006","perry se","what cultural primatology can tell anthropologists about the evolution of culture","annual review of anthropology","10.1146/annurev.anthro.35.081705.123312",1,2006,0.704341701845616
"berliner_impossible_2005","berliner d","an ``impossible'' transmission: youth religious memories in guinea-conakry","american ethnologist","10.1525/ae.2005.32.4.576",1,2005,0.391517597104904
"atran_cultural_2005","atran s;medin dl;ross no","the cultural mind: environmental decision making and cultural modeling within and across populations","psychological review","10.1037/0033-295x.112.4.744",1,2005,0.752297170400117
"kirmayer_commentary_2001","kirmayer lj","commentary on ``why cultural anthropology needs the psychiatrist'' - sapir's vision of culture and personality","psychiatry-interpersonal and biological processes","10.1521/psyc.64.1.23.18233",1,2001,0.277644021384324
"stockmann_dreaming_2001","stockmann i","dreaming bodies: the evolution of human knowledge in the 17th and 18th centuries - with a preliminary remark of literary anthropology","internationales archiv fur sozialgeschichte der deutschen literatur","10.1515/iasl.2001.2.1",1,2001,0.247435644016999
"dawson_evolutionary_1999","dawson d","evolutionary theory and group selection: the question of warfare","history and theory","10.1111/0018-2656.00105",1,1999,0.407579248384006
"aikenhead_toward_1997","aikenhead gs","toward a first nations cross-cultural science and technology curriculum","science education","10.1002/(sici)1098-237x(199704)81:2<217::aid-sce6>3.3.co;2-3",1,1997,0.078463001124569
"fabrega_earliest_1997","fabrega h","earliest phases in the evolution of sickness and healing","medical anthropology quarterly","10.1525/maq.1997.11.1.26",1,1997,0.335275580174618
"whitehouse_jungles_1996","whitehouse h","jungles and computers: neuronal group selection and the epidemiology of representations","journal of the royal anthropological institute","10.2307/3034635",1,1996,0.366137847050964
"begossi_human-ecology_1993","begossi a","human-ecology - an overview of the relationship man-environment","interciencia","NA",1,1993,0.474507418551709
"whitehouse_coexistence_2011","whitehouse h","the coexistence problem in psychology, anthropology, and evolutionary theory","human development","10.1159/000329149",1,2011,0.370073067818902
"funnell_search_1981","funnell r;smith r","search for a theory of cultural transmission in an anthropology of education - notes on spindler and gearing","anthropology \& education quarterly","10.1525/aeq.1981.12.4.05x1813s",1,1981,0.223894891296831
"aguirre-fernandez_cultural_2021","aguirre-fernandez g;barbieri c;graff a;de;arce jp;moreno h;sanchez-villagra mr","cultural macroevolution of musical instruments in south america","humanities \& social sciences communications","10.1057/s41599-021-00881-z",2,2021,0.542268731017308
"teixidor-toneu_historical_2021","teixidor-toneu i;kool a;greenhill k;sandstedt jj;manzanilla fm","historical, archaeological and linguistic evidence test the phylogenetic inference of viking-age plant use","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2020.0086",2,2021,0.539179112036106
"shaar_magnetostratigraphy_2021","shaar r;matmon a;horwitz lk;ebert m;aster team astert","magnetostratigraphy and cosmogenic dating of wonderwerk cave: new constraints for the chronology of the south african earlier stone age","quaternary science reviews","10.1016/j.quascirev.2021.106907",2,2021,0.275229647804357
"nichols_understanding_2021","nichols r","understanding east asian holistic cognitive style and its cultural evolution: a multi-disciplinary case study of traditional chinese medicine","journal of cultural cognitive science","10.1007/s41809-021-00075-8",2,2021,0.495632256540124
"hovers_expansion_2021","hovers e;gossa t;asrat a;niespolo em;resom a;renne pr;ekshtain r;herzlinger g;ketema n;martinez-navarro b","the expansion of the acheulian to the southeastern ethiopian highlands: insights from the new early pleistocene site-complex of melka wakena","quaternary science reviews","10.1016/j.quascirev.2020.106763",2,2021,0.362554983991322
"prentiss_evolutionary_2020","prentiss am;walsh mj;foor a;ryan e","evolutionary household archaeology: inter-generational cultural transmission at housepit 54, bridge river site, british columbia","journal of archaeological science","10.1016/j.jas.2020.105260",2,2020,0.656798197971424
"yang_hominin_2020","yang sx;yue jp;zhou x;storozum m;huan fx;deng cl;petraglia md","hominin site distributions and behaviours across the mid-pleistocene climate transition in china","quaternary science reviews","10.1016/j.quascirev.2020.106614",2,2020,0.416225920967108
"kuman_fauresmith_2020","kuman k;lotter mg;leader gm","the fauresmith of south africa: a new assemblage from canteen kopje and significance of the technology in human and cultural evolution","journal of human evolution","10.1016/j.jhevol.2020.102884",2,2020,0.457935337313054
"hermann_pofatu_2020","hermann a;forkel r;mcalister a;golitko m;kneebone b;mccoy m;reepmeyer c;sheppard p;sinton m","pofatu, a curated and open-access database for geochemical sourcing of archaeological materials","scientific data","10.1038/s41597-020-0485-8",2,2020,0.227150880118956
"prentiss_evolution_2018","prentiss am;walsh mj;foor ta","evolution of early thule material culture: cultural transmission and terrestrial ecology","human ecology","10.1007/s10745-017-9963-9",2,2018,0.774878732849076
"morita_demographic_2018","morita m","demographic studies enhance the understanding of evolutionarily (mal) adaptive behaviors and phenomena in humans: a review on fertility decline and an integrated model","population ecology","10.1007/s10144-017-0597-y",2,2018,0.561961282910763
"kolipakam_bayesian_2018","kolipakam v;jordan fm;dunn sj;bouckaert r;gray a","a bayesian phylogenetic study of the dravidian language family","royal society open science","10.1098/rsos.171504",2,2018,0.456610289842127
"lee_late-occurring_2017","lee hw","late-occurring handaxes in korea: their homogeneity and variability","archaeologies-journal of the world archaeological congress","10.1007/s11759-017-9326-6",2,2017,0.608688608866789
"bar-yosef_can_2017","bar-yosef o","can archaeology tell us about the evolution of cognition and language?","journal of neurolinguistics","10.1016/j.jneuroling.2016.11.009",2,2017,0.408906885306608
"da_silva_comparative_2016","da silva sg;tehrani jj","comparative phylogenetic analyses uncover the ancient roots of indo-european folktales","royal society open science","10.1098/rsos.150645",2,2016,0.637191391463416
"lawson_no_2015","lawson dw;james s;ngadaya e;ngowi b;mfinanga sgm;mulder mb","no evidence that polygynous marriage is a harmful cultural practice in northern tanzania","proceedings of the national academy of sciences of the united states of america","10.1073/pnas.1507151112",2,2015,0.263867188171433
"sear_evolutionary_2015","sear r","evolutionary contributions to the study of human fertility","population studies-a journal of demography","10.1080/00324728.2014.982905",2,2015,0.745090319322494
"shennan_isolation-by-distance_2015","shennan sj;crema er;kerig t","isolation-by-distance, homophily, and ``core'' vs. ``package'' cultural evolution models in neolithic europe","evolution and human behavior","10.1016/j.evolhumbehav.2014.09.006",2,2015,0.754178834541527
"gibson_applying_2015","gibson ma;lawson dw","applying evolutionary anthropology","evolutionary anthropology","10.1002/evan.21432",2,2015,0.365053149736831
"de_la_torre_transition_2014","de la torre i;mora r","the transition to the acheulean in east africa: an assessment of paradigms and evidence from olduvai gorge (tanzania)","journal of archaeological method and theory","10.1007/s10816-013-9176-5",2,2014,0.539730715589127
"waymire_neuroscience_2014","waymire gb","neuroscience and ultimate causation in accounting research","accounting review","10.2308/accr-50881",2,2014,0.415836233010328
"crema_culture_2014","crema er;kerig t;shennan s","culture, space, and metapopulation: a simulation-based study for evaluating signals of blending and branching","journal of archaeological science","10.1016/j.jas.2014.01.002",2,2014,0.841921192743874
"cochrane_plainware_2013","cochrane ee;rieth tm;dickinson wr","plainware ceramics from samoa: insights into ceramic chronology, cultural transmission, and selection among colonizing populations","journal of anthropological archaeology","10.1016/j.jaa.2013.08.005",2,2013,0.443384817607093
"mace_cooperation_2013","mace r","cooperation and conflict between women in the family","evolutionary anthropology","10.1002/evan.21374",2,2013,0.475709312622686
"nettle_human_2013","nettle d;gibson ma;lawson dw;sear r","human behavioral ecology: current research and future prospects","behavioral ecology","10.1093/beheco/ars222",2,2013,0.531904097754575
"jordan_evolutionary_2013","jordan fm;huber br","evolutionary approaches to cross-cultural anthropology","cross-cultural research","10.1177/1069397112471800",2,2013,0.605325676708194
"mcnabb_pole_2013","mcnabb j","pole to pole. archaeology and adaptation in the middle pleistocene at opposite ends of the acheulean world","oxford journal of archaeology","10.1111/ojoa.12006",2,2013,0.468829519326041
"anderson_high-resolution_2013","anderson sl;freeburg ak","a high-resolution chronology for the cape krusenstern site complex, northwest alaska","arctic anthropology","10.3368/aa.50.1.49",2,2013,0.478715290980583
"towner_cultural_2012","towner mc;grote mn;venti j;mulder mb","cultural macroevolution on neighbor graphs vertical and horizontal transmission among western north american indian societies","human nature-an interdisciplinary biosocial perspective","10.1007/s12110-012-9142-z",2,2012,0.74424206699158
"larsen_evolution_2011","larsen aw","evolution of polynesian bark cloth and factors influencing cultural change","journal of anthropological archaeology","10.1016/j.jaa.2010.12.004",2,2011,0.643146838890875
"matthews_testing_2011","matthews lj;tehrani jj;jordan m;nunn cl","testing for divergent transmission histories among cultural characters: a study using bayesian phylogenetic methods and iranian tribal textile data","plos one","10.1371/journal.pone.0014810",2,2011,0.683807250026211
"gray_language_2011","gray rd;atkinson qd;greenhill sj","language evolution and human history: what a difference a date makes","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2010.0378",2,2011,0.44254516310144
"curtis_disgust_2011","curtis v;de barra m;aunger r","disgust as an adaptive system for disease avoidance behaviour","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2010.0117",2,2011,0.581272669398927
"mace_macro-evolutionary_2011","mace r;jordan fm","macro-evolutionary studies of cultural diversity: a review of empirical studies of cultural transmission and cultural adaptation","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2010.0238",2,2011,0.651846032405207
"currie_is_2010","currie te;greenhill sj;mace r","is horizontal transmission really a problem for phylogenetic comparative methods? a simulation study using continuous cultural traits","philosophical transactions of the royal society b-biological sciences","10.1098/rstb.2010.0014",2,2010,0.626524139222691
"baena_technical_2010","baena j;lordkipanidze d;cuartero f;ferring r;zhvania d;martin d;shelia g;roca m;rubio d","technical and technological complexity in the beginning: the study of dmanisi lithic assemblage","quaternary international","10.1016/j.quaint.2010.01.019",2,2010,0.272360276764356
"rolland_earliest_2010","rolland n","the earliest hominid dispersals beyond subsaharan africa: a survey of underlying causes","quaternary international","10.1016/j.quaint.2010.02.011",2,2010,0.426366992400769
"stout_technological_2010","stout d;semaw s;rogers mj;cauche d","technological variation in the earliest oldowan from gona, afar, ethiopia","journal of human evolution","10.1016/j.jhevol.2010.02.005",2,2010,0.594129379178921
"lycett_demographic_2010","lycett sj;norton cj","a demographic model for palaeolithic technological evolution: the case of east asia and the movius line","quaternary international","10.1016/j.quaint.2008.12.001",2,2010,0.806421622495407
"lycett_movius_2010","lycett sj;bae cj","the movius line controversy: the state of the debate","world archaeology","10.1080/00438243.2010.517667",2,2010,0.762543793251488
"nettle_ecological_2009","nettle d","ecological influences on human behavioural diversity: a review of recent findings","trends in ecology \& evolution","10.1016/j.tree.2009.05.013",2,2009,0.620317771353392
"lycett_understanding_2009","lycett sj","understanding ancient hominin dispersals using artefactual data: a phylogeographic analysis of acheulean handaxes","plos one","10.1371/journal.pone.0007404",2,2009,0.780371325726303
"lycett_cladistic_2009","lycett sj;collard m;mcgrew wc","cladistic analyses of behavioural variation in wild pan troglodytes: exploring the chimpanzee culture hypothesis","journal of human evolution","10.1016/j.jhevol.2009.05.015",2,2009,0.769443786255591
"whiten_evolution_2009","whiten a;schick k;toth n","the evolution and cultural transmission of percussive technology: integrating evidence from palaeoanthropology and primatology","journal of human evolution","10.1016/j.jhevol.2008.12.010",2,2009,0.616287503594468
"greenhill_does_2009","greenhill sj;currie te;gray rd","does horizontal transmission invalidate cultural phylogenies?","proceedings of the royal society b-biological sciences","10.1098/rspb.2008.1944",2,2009,0.658094105902894
"jordan_matrilocal_2009","jordan fm;gray rd;greenhill sj;mace r","matrilocal residence is ancestral in austronesian societies","proceedings of the royal society b-biological sciences","10.1098/rspb.2009.0088",2,2009,0.549194009703474
"lycett_are_2009","lycett sj","are victoria west cores ``proto-levallois''? a phylogenetic assessment","journal of human evolution","10.1016/j.jhevol.2008.10.001",2,2009,0.731725400230525
"braun_introduction_2009","braun dr;hovers e","introduction: current issues in oldowan research","interdisciplinary approaches to the oldowan","10.1007/978-1-4020-9059-2",2,2009,0.543720483041514
"lycett_acheulean_2008","lycett sj;von cramon-taubadel n","acheulean variability and hominin dispersals: a model-bound approach","journal of archaeological science","10.1016/j.jas.2007.05.003",2,2008,0.812077461351683
"lycett_questions_2008","lycett sj;gowlett jaj","on questions surrounding the acheulean `tradition'","world archaeology","10.1080/00438240802260970",2,2008,0.660505484039043
"mesoudi_towards_2006","mesoudi a;whiten a;laland kn","towards a unified science of cultural evolution","behavioral and brain sciences","10.1017/s0140525x06009083",2,2006,0.853242576010133
"pagel_darwinian_2006","pagel m","darwinian cultural evolution rivals genetic evolution","behavioral and brain sciences","10.1017/s0140525x06379083",2,2006,0.630715030542819
"mace_phylogenetic_2005","mace r;holden cj","a phylogenetic approach to cultural evolution","trends in ecology \& evolution","10.1016/j.tree.2004.12.002",2,2005,0.762699394183987
"plummer_flaked_2004","plummer t","flaked stones and old bones: biological and cultural evolution at the dawn of technology","yearbook of physical anthropology, vol 47","10.1002/ajpa.20157",2,2004,0.303921769261955
"holden_spread_2003","holden cj;mace r","spread of cattle led to the loss of matrilineal descent in africa: a coevolutionary analysis","proceedings of the royal society b-biological sciences","10.1098/rspb.2003.2535",2,2003,0.608384850368682
"ambrose_paleolithic_2001","ambrose sh","paleolithic technology and human evolution","science","10.1126/science.1059487",2,2001,0.599555101329117
"holden_sexual_1999","holden c;mace r","sexual dimorphism in stature and women's work: a phylogenetic cross-cultural analysis","american journal of physical anthropology","10.1002/(sici)1096-8644(199909)110:1<27::aid-ajpa3>3.0.co;2-g",2,1999,0.428718222219817
