mybibtex_key,Author(s),Title,Outlet,DOI,Cluster,Year of publication,size,closeness_centrality,degree_centrality
li_human_2021,li k;gao w,"human settlement distribution patterns during the longshan and xinzhai-erlitou periods and their hydrogeomorphic contexts in the central plains, china",catena,10.1016/j.catena.2021.105433,2,2021,14,0.6317881187837268,0.11246943765281174
gallello_analysis_2021,gallello g;ramacciotti m;garcia-puchol s;cortell-nicolau a;cervera a;pastor a;mcclure sb,analysis of stratigraphical sequences at cocina cave (spain) using rare earth elements geochemistry,boreas,10.1111/bor.12530,2,2021,30,0.32465481641914445,0.019559902200488997
zang_ya-fan_comprehensive_2021,zang ya-fan zy;wang tao wt;yuan guang-kuo yg,comprehensive research on the pottery from meishan site based on x-ray spectroscopy and operation chain analysis,spectroscopy and spectral analysis,10.3964/j.issn.1000-0593(2021)05-1355-05,NA,NA,NA,NA,NA
goebel_prehistoric_2021,goebel t;hockett b;rhode d;graf k,"prehistoric human response to climate change in the bonneville basin, western north america: the bonneville estates rockshelter radiocarbon chronology",quaternary science reviews,10.1016/j.quascirev.2021.106930,2,2021,5,0.6371076818698499,0.1198044009779951
shaar_magnetostratigraphy_2021,shaar r;matmon a;horwitz lk;ebert m;aster team astert,magnetostratigraphy and cosmogenic dating of wonderwerk cave: new constraints for the chronology of the south african earlier stone age,quaternary science reviews,10.1016/j.quascirev.2021.106907,4,2021,82,0.5721236650544278,0.05378973105134474
hashemi_investigation_2021,hashemi sm;nasab hv;berillon m,"an investigation of the flake-based lithic tool morphology using 3d geometric morphometrics: a case study from the mirak paleolithic site, iran",journal of archaeological science-reports,10.1016/j.jasrep.2021.102948,4,2021,10,0.813761286575122,0.24938875305623473
tushingham_how_2021,tushingham s;barton l;bettinger rl,how ancestral subsistence strategies solve salmon starvation and the ``protein problem'' of pacific rim resources,american journal of physical anthropology,10.1002/ajpa.24281,5,2021,255,0.7707000217722905,0.06356968215158924
maier_cultural_2021,maier a;stojakowits p;mayr c;pfeifer s;preusser f;zolitschka b;anghelinu m;bobak d;duprat-oualid f;einwoegerer t;hambach u;haendel m;kaminska l;kaempf l;lanczont m;lehmkuhl f;ludwig e;mroczek p;nemergut a;nerudova z;nita l;polanska m;poltowicz-bobak m;rius d;roemer w;simon u;skrdla p;ujvari g;veres d,cultural evolution and environmental change in central europe between 40 and 15 ka,quaternary international,10.1016/j.quaint.2020.09.049,4,2021,58,0.7532474874716351,0.3569682151589242
nichols_understanding_2021,nichols r,understanding east asian holistic cognitive style and its cultural evolution: a multi-disciplinary case study of traditional chinese medicine,journal of cultural cognitive science,10.1007/s41809-021-00075-8,1,2021,3,0.3159237532018158,0.012224938875305624
motes-rodrigo_method_2021,motes-rodrigo a;tennie c,the method of local restriction: in search of potential great ape culture-dependent forms,biological reviews,10.1111/brv.12710,4,2021,74,0.833729580273404,0.5403422982885085
shoaee_paleolithic_2021,shoaee mj;nasab hv;petraglia md,the paleolithic of the iranian plateau: hominin occupation history and implications for human dispersals across southern asia,journal of anthropological archaeology,10.1016/j.jaa.2021.101292,4,2021,2,0.6607771722931411,0.13202933985330073
walker_stabilization_2021,walker r;eriksson a;ruiz c;newton th;casalegno f,stabilization of cultural innovations depends on population density: testing an epidemiological model of cultural evolution against a global dataset of rock art sites and climate-based estimates of ancient population densities,plos one,10.1371/journal.pone.0247973,4,2021,25,0.6455899077906678,0.4034229828850856
li_mapping_2021,li y;lu p;mao l;chen p;yan l;guo l,"mapping spatiotemporal variations of neolithic and bronze age settlements in the gansu-qinghai region, china: scale grade, chronological development, and social organization",journal of archaeological science,10.1016/j.jas.2021.105357,2,2021,31,0.5261781874400716,0.07334963325183375
wright_iconography_2022,wright am,the iconography of connectivity between the hohokam world and its southern neighbors,journal of archaeological research,10.1007/s10814-021-09159-z,5,2022,3,0.8755316839812227,0.06356968215158924
macleod_fords_2021,macleod n;nash b,ford's gamma-gamma village simulation revisited: highlighting the need for a new middle-range theory of archaeological types,archaeometry,10.1111/arcm.12661,3,2021,10,0.7437285587972098,0.18092909535452323
lyman_importance_2021,lyman rl,on the importance of systematics to archaeological research: the covariation of typological diversity and morphological disparity,journal of paleolithic archaeology,10.1007/s41982-021-00077-6,3,2021,15,0.8367165370151137,0.5501222493887531
rosenberg-yefet_acheulian_2021,rosenberg-yefet t;shemer m;barkai r,acheulian shortcuts: cumulative culture and the use of handaxes as cores for the production of predetermined blanks,journal of archaeological science-reports,10.1016/j.jasrep.2021.102822,4,2021,48,0.7455953459439006,0.2860635696821516
hovers_expansion_2021,hovers e;gossa t;asrat a;niespolo em;resom a;renne pr;ekshtain r;herzlinger g;ketema n;martinez-navarro b,the expansion of the acheulian to the southeastern ethiopian highlands: insights from the new early pleistocene site-complex of melka wakena,quaternary science reviews,10.1016/j.quascirev.2020.106763,4,2021,1,0.622809427194921,0.15158924205378974
romanowska_trends_2021,romanowska i;lichtenberger a;raja r,"trends in ceramic assemblages from the northwest quarter of gerasa/jerash, jordan",journal of archaeological science-reports,10.1016/j.jasrep.2020.102778,3,2021,13,0.1757288308959002,0
iovita_operationalizing_2021,iovita r;braun dr;douglass mj;holdaway sj;lin sc;olszewski d;rezek z,operationalizing niche construction theory with stone tools,evolutionary anthropology,10.1002/evan.21881,4,2021,22,0.7327827916418861,0.7603911980440098
lundstrom_demographic_2021,lundstrom v;peters r;riede f,demographic estimates from the palaeolithic-mesolithic boundary in scandinavia: comparative benchmarks and novel insights,philosophical transactions of the royal society b-biological sciences,10.1098/rstb.2020.0037,4,2021,5,0.8327092021403232,0.7677261613691931
schmidt_approaching_2021,schmidt i;hilpert j;kretschmer i;peters r;broich m;schiesberg s;vogels kp;zimmermann a;maier a,"approaching prehistoric demography: proxies, scales and scope of the cologne protocol in european contexts",philosophical transactions of the royal society b-biological sciences,10.1098/rstb.2019.0714,2,2021,2,0.6251378618878863,0.23471882640586797
prentiss_theoretical_2021,prentiss am,"theoretical plurality, the extended evolutionary synthesis, and archaeology",proceedings of the national academy of sciences of the united states of america,10.1073/pnas.2006564118,3,2021,52,0.8891522807267054,0.8728606356968215
bebber_role_2021,bebber mr,"the role of functional efficiency in the decline of north america's copper culture (8000-3000 bp): an experimental, ecological, and evolutionary approach",journal of archaeological method and theory,10.1007/s10816-020-09497-0,3,2021,6,0.9155070829774132,0.7603911980440098
gellens_natural_2021,gellens s;biebuyck b,"natural selection, levelling, and eternal recurrence how nietzsche addressed darwinism in his effort to surpass the body-mind-dichotomy",synthesis philosophica,10.21464/sp36109,1,2021,8,0.5039761350354612,0.02689486552567237
golovnev_visual_2021,golovnev ia,visual ethnography of ivan lopatin (on the materials of the amur expedition of 1913),tomskii zhurnal lingvisticheskikh i antropologicheskikh issledovanii-tomsk journal of linguistics and anthropology,10.23951/2307-6119-2021-1-163-173,NA,NA,NA,NA,NA
sabatino_clays_2021,sabatino g;franzone m;martinelli mt;italiano f;caccamo mt;mezzatesta f;magazu s;tripodo a;di bella m,"from clays to pottery: role of geomaterials in the social-technological development of the messina territory (sicily, italy) and archaeological-historical information on the main kilns",atti accademia peloritana dei pericolanti-classe di scienze fisiche matematiche e naturali,10.1478/aapp.99s1a43,NA,NA,NA,NA,NA
szabo_equipment_2021,szabo l;bereczkei t,the equipment of the tyrolean iceman: innovation versus adaptation in the cultural evolution of prehistoric technologies,journal of anthropological sciences,10.4436/jass.99004,4,2021,6,0.7644992372920163,0.7114914425427873
velliky_early_2021,velliky ec;schmidt p;bellot-gurlet l;wolf s;conard nj,"early anthropogenic use of hematite on aurignacian ivory personal ornaments from hohle fels and vogelherd caves, germany",journal of human evolution,10.1016/j.jhevol.2020.102900,4,2021,493,0.656150522827122,0.17603911980440098
kohrt_why_2020,kohrt ba;ottman k;panter-brick m;patel v,why we heal: the evolution of psychological healing and implications for global mental health,clinical psychology review,10.1016/j.cpr.2020.101920,1,2020,1,0.790875677347493,0.20537897310513448
prentiss_evolutionary_2020,prentiss am;walsh mj;foor a;ryan e,"evolutionary household archaeology: inter-generational cultural transmission at housepit 54, bridge river site, british columbia",journal of archaeological science,10.1016/j.jas.2020.105260,3,2020,128,0.7729754920111243,0.5965770171149144
angel_bel_refitting_2020,angel bel m;martinez-alfaro a;villaverde v,"refitting lithic laminar fragments to assess palaeolithic sequences: the case of cova de les cendres (teulada-moraira, alicante, spain)",quaternary international,10.1016/j.quaint.2020.04.023,4,2020,42,0.4781820297863903,0.02689486552567237
yang_hominin_2020,yang sx;yue jp;zhou x;storozum m;huan fx;deng cl;petraglia md,hominin site distributions and behaviours across the mid-pleistocene climate transition in china,quaternary science reviews,10.1016/j.quascirev.2020.106614,4,2020,161,0.670303044305237,0.05378973105134474
kuman_fauresmith_2020,kuman k;lotter mg;leader gm,the fauresmith of south africa: a new assemblage from canteen kopje and significance of the technology in human and cultural evolution,journal of human evolution,10.1016/j.jhevol.2020.102884,4,2020,4,0.7284689157104877,0.2176039119804401
muehlenbeck_origin_2020,muehlenbeck c;jacobsen t,on the origin of visual symbols,journal of comparative psychology,10.1037/com0000229,4,2020,13,0.7759466893526392,0.32273838630806845
anonymous_qingtang_2020,[anonymous] a,"the qingtang site in yingde city, guangdong province",chinese archaeology,10.1515/char-2020-0001,NA,NA,NA,NA,NA
gabora_model_2020,gabora l;steel m,a model of the transition to behavioural and cognitive modernity using reflexively autocatalytic networks,journal of the royal society interface,10.1098/rsif.2020.0545,4,2020,6,0.6863872066507626,0.5843520782396088
premo_reconciling_2020,premo ls,reconciling and reassessing the accumulated copying error model's population-level predictions for continuous cultural traits,american anthropologist,10.1111/aman.13485,3,2020,57,0.5675728042876419,0.4792176039119804
pain_mind_2021,pain r;brown rl,mind the gap: a more evolutionarily plausible role for technical reasoning in cumulative technological culture,synthese,10.1007/s11229-020-02894-8,4,2021,38,0.6569296789809904,0.2469437652811736
cortell-nicolau_cultural_2020,cortell-nicolau a;garcia-puchol o;shennan s,cultural continuities and discontinuities at the neolithic transition in eastern iberia: an analysis of the morphometry of geometric microliths,archaeological and anthropological sciences,10.1007/s12520-020-01204-0,3,2020,6,0.5723193436413356,0.22249388753056235
braadbaart_heating_2020,braadbaart f;reidsma fh;roebroeks w;chiotti v;meyer m;thery-parisot i;van hoesel kgj;kaal j;van os b;marquer l,"heating histories and taphonomy of ancient fireplaces: a multi-proxy case study from the upper palaeolithic sequence of abri pataud (les eyzies-de-tayac, france)",journal of archaeological science-reports,10.1016/j.jasrep.2020.102468,4,2020,1,0.6535440204100404,0.0488997555012225
gandon_assessing_2020,gandon e;nonaka t;sonabend r;endler j,assessing the influence of culture on craft skills: a quantitative study with expert nepalese potters,plos one,10.1371/journal.pone.0239139,3,2020,9,0.6354785801113821,0.09535452322738386
munoz-garcia_games_2020,munoz-garcia g;sanchez-montanes e,games and toys in the north american native world: contributions to visibility and children education,arte individuo y sociedad,10.5209/aris.66239,5,2020,87,0.5685608576551753,0.034229828850855744
read_cultural_2020,read d;andersson c,cultural complexity and complexity evolution,adaptive behavior,10.1177/1059712318822298,4,2020,19,0.7971460274520441,0.863080684596577
gandon_traditional_2020,gandon e;nonaka t;endler ja;coyle t;bootsma rj,traditional craftspeople are not copycats: potter idiosyncrasies in vessel morphogenesis,plos one,10.1371/journal.pone.0239362,3,2020,8,0.7115489039358904,0.3643031784841076
kavanagh_drivers_2021,kavanagh ph;haynie hj;kushnick b;tuff t;bowern c;low cr;kirby kr;botero ca;gavin mc,drivers of global variation in land ownership,ecography,10.1111/ecog.05205,5,2021,2,0.5879480264059851,0.16381418092909536
mackay_excavations_2020,mackay a;cartwright cr;heinrich s;low ma;stahlschmidt mc;steele te,excavations at klipfonteinrand reveal local and regional patterns of adaptation and interaction through mis 2 in southern africa,journal of paleolithic archaeology,10.1007/s41982-019-00040-6,4,2020,47,0.6137722041162718,0.08801955990220049
kapitany_ritual_2020,kapitany r;kavanagh c;whitehouse h,"ritual morphospace revisited: the form, function and factor structure of ritual practice",philosophical transactions of the royal society b-biological sciences,10.1098/rstb.2019.0436,1,2020,49,0.4283372670411783,0.04156479217603912
legare_ritual_2020,legare ch;nielsen m,ritual explained: interdisciplinary answers to tinbergen's four questions,philosophical transactions of the royal society b-biological sciences,10.1098/rstb.2019.0419,1,2020,21,0.38772280487795624,0.02444987775061125
nielsen_homo_2020,nielsen m;langley mc;shipton c;kapitany r,homo neanderthalensis and the evolutionary origins of ritual inhomo sapiens,philosophical transactions of the royal society b-biological sciences,10.1098/rstb.2019.0424,4,2020,11,0.7360120369574016,0.3594132029339853
garcia-rivero_exceptional_2020,garcia-rivero d;taylor r;umbelino c;price td;garcia-vinas e;bernaldez-sanchez g;pena-chocarro l;barrera-cruz m;gibaja-bao jf;diaz-rodriguez mj;monteiro p;vera-rodriguez jc;perez-gonzalez j,the exceptional finding of locus 2 at dehesilla cave and the middle neolithic ritual funerary practices of the iberian peninsula,plos one,10.1371/journal.pone.0236961,2,2020,90,0.5882057622121876,0.08312958435207823
derex_cumulative_2020,derex m;mesoudi a,cumulative cultural evolution within evolving population structures,trends in cognitive sciences,10.1016/j.tics.2020.04.005,4,2020,20,0.7260020300655886,0.6014669926650367
stade_theory_2020,stade cm,theory of mind as a proxy for palaeolithic language ability an alternative to the search for the earliest symbolic material culture,language dynamics and change,10.1163/22105832-20201000,4,2020,143,0.7540612330987608,0.254278728606357
hagen_adoption_2020,hagen r;scelza ba,adoption of outgroup norms provides evidence for social transmission in perinatal care practices among rural namibian women,evolution medicine and public health,10.1093/emph/eoaa029,1,2020,10,0.608414547347843,0.5207823960880196
briere_human_2020,briere md;gajewski k,human population dynamics in relation to holocene climate variability in the north american arctic and subarctic,quaternary science reviews,10.1016/j.quascirev.2020.106370,2,2020,3,0.47377879623400654,0.15647921760391198
winkelman_cross-cultural_2021,winkelman mj,"a cross-cultural study of the elementary forms of religious life: shamanistic healers, priests, and witches",religion brain \& behavior,10.1080/2153599x.2020.1770845,1,2021,445,0.686567444066311,0.11735941320293398
jonsson_good_2020,jonsson h,good attachment in the asian highlands: questioning notions of ``loose women'' and ``autonomous communities'',critical asian studies,10.1080/14672715.2020.1772092,1,2020,5,0.5958071291945826,0.07579462102689487
riede_cliodynamic_2020,riede f;hussain st;timmreck c;svenning jc,cliodynamic archaeology: computational approaches to final palaeolithic/early mesolithic archaeology and climate change,antiquity,10.15184/aqy.2020.85,4,2020,12,0.3960446706884564,0.05134474327628362
stanford_cultural_2020,stanford m,the cultural evolution of human nature,acta biotheoretica,10.1007/s10441-019-09367-7,1,2020,72,0.6658299086745816,0.18581907090464547
yang_liu_climate_2020,yang liu yl;shi zhilin sz;zhang shanjia zs;lee hf,"climate change, geopolitics, and human settlements in the hexi corridor over the last 5,000 years",acta geologica sinica-english edition,10.1111/1755-6724.14529,2,2020,11,0.6530076250330977,0.13202933985330073
hermann_pofatu_2020,hermann a;forkel r;mcalister a;golitko m;kneebone b;mccoy m;reepmeyer c;sheppard p;sinton m,"pofatu, a curated and open-access database for geochemical sourcing of archaeological materials",scientific data,10.1038/s41597-020-0485-8,3,2020,13,0.6433613857798772,0.03667481662591687
maiorano_quantitative_2020,maiorano mp;crassard r;charpentier e,a quantitative approach to the study of neolithic projectile points from south-eastern arabia,arabian archaeology and epigraphy,10.1111/aae.12147,3,2020,19,0.7101616824932357,0.628361858190709
rockman_expanding_2020,rockman m;hritz c,expanding use of archaeology in climate change response by changing its social environment,proceedings of the national academy of sciences of the united states of america,10.1073/pnas.1914213117,1,2020,30,0.5721311400304072,0.5134474327628362
romano_multilevel_2020,romano v;lozano s;de pablo jfl,a multilevel analytical framework for studying cultural evolution in prehistoric hunter-gatherer societies,biological reviews,10.1111/brv.12599,4,2020,15,0.7626195152760932,0.7359413202933985
van_vugt_genes_2020,van vugt m;von rueden cr,from genes to minds to cultures: evolutionary approaches to leadership,leadership quarterly,10.1016/j.leaqua.2020.101404,1,2020,3,0.7174706984991731,0.1491442542787286
manem_modeling_2020,manem s,modeling the evolution of ceramic traditions through a phylogenetic analysis of thechaines operatoires: the european bronze age as a case study,journal of archaeological method and theory,10.1007/s10816-019-09434-w,1,2020,48,0.81713031035033,0.628361858190709
palecek_evolution_2020,palecek m,the evolution of `culture': juggling a concept,anthropological theory,10.1177/1463499618814598,1,2020,10,0.8603098001649666,0.706601466992665
niespolo_carbon_2020,niespolo em;sharp wd;tryon ca;faith j;ranhorn k;mambelli s;miller mj;dawson te,"carbon, nitrogen, and oxygen isotopes of ostrich eggshells provide site-scale pleistocene-holocene paleoenvironmental records for eastern african archaeological sites",quaternary science reviews,10.1016/j.quascirev.2019.106142,4,2020,8,0.708309494126808,0.17114914425427874
rezek_aggregates_2020,rezek z;holdaway sj;olszewski di;lin sc;douglass m;mcpherron s;iovita dr;sandgathe d,"aggregates, formational emergence, and the focus on practice in stone artifact archaeology",journal of archaeological method and theory,10.1007/s10816-020-09445-y,4,2020,34,0.8352809963168201,0.941320293398533
lopez_macro-regional_2020,lopez gej,"macro-regional interaction processes in the south-central andes along the holocene (ca. 10000-500 bp): obsidian circulation, cultural transmission and evidence of allochthonous materials at archaeological sites in the puna of salta, north-western argentina",journal of archaeological science-reports,10.1016/j.jasrep.2019.102187,1,2020,59,0.6523603184393729,0.43765281173594134
schmidt_reassessing_2020,schmidt c;anghelinu m;hambach u;veres d;lehmkuhl f,"reassessing the timeframe of upper palaeolithic deposits in the ceahlau basin (eastern carpathians, romania): geochronological and archaeological implications",quaternary geochronology,10.1016/j.quageo.2019.101020,2,2020,63,0.4936430386021227,0.061124694376528114
halfon_material_2020,halfon e;barkai r,"the material and mental effects of animal disappearance on indigenous hunter-gatherers, past and present",time \& mind-the journal of archaeology consciousness and culture,10.1080/1751696x.2020.1718309,4,2020,26,0.6298066706720019,0.07823960880195599
spagnolo_climbing_2020,spagnolo v;marciani g;aureli d;martini i;boscato p;boschin f;ronchitelli a,"climbing the time to see neanderthal behaviour's continuity and discontinuity: su 11 of the oscurusciuto rockshelter (ginosa, southern italy)",archaeological and anthropological sciences,10.1007/s12520-019-00971-9,4,2020,87,0.7238237194108496,0.2713936430317848
belfer-cohen_prehistoric_2020,belfer-cohen a;hovers e,prehistoric perspectives on ``others'' and ``strangers'',frontiers in psychology,10.3389/fpsyg.2019.03063,4,2020,2,0.8451261937195909,0.39853300733496333
lycett_spatially_2020,lycett sj,spatially mediated cultural transmission and the distribution of horse blanket styles among post-contact and reservation-period tribes of western north america,archaeological and anthropological sciences,10.1007/s12520-019-00973-7,3,2020,72,0.690318809475203,0.40097799511002447
simpson_sedentism_2020,simpson lm;jones tl,sedentism and settlement in native california: research progress and prospects,california archaeology,10.1080/1947461x.2020.1755188,5,2020,124,0.8600494238782838,0.31295843520782396
smith_discerning_2020,smith hl;kuzminsky sc;linderholm a,discerning dispersals along the pacific and interior corridors: contributions of geometric morphometrics to the peopling of the americas,paleoamerica,10.1080/20555563.2019.1696149,3,2020,149,0.819210821664543,0.38141809290953543
langley_playing_2020,langley mc;benitez-burraco a;kempe v,"playing with language, creating complexity: has play contributed to the evolution of complex language?",evolutionary anthropology,10.1002/evan.21810,4,2020,6,0.7447990286880409,0.2616136919315403
leandri_chert_2020,leandri c;fernandes p,chert procurement in corsica during the neolithic: inferring social territories in the tyrrhenian islands,journal of lithic studies,10.2218/jls.5406,NA,NA,NA,NA,NA
vukovic_pottery_2020,vukovic j,"pottery and non-sedentary communities: origins, technology and usage",etnoantropoloski problemi-issues in ethnology and anthropology,10.21301/eap.v15i3.5,5,2020,54,0.7952839419496855,0.10268948655256724
you_guest_2020,you z;hardwick pa,guest editors' introduction intangible cultural heritage in asia traditions in transition,asian ethnology,NA,3,2020,4,0.15721053033447735,0.0024449877750611247
brown_synthesis_2021,brown tj;ames km,synthesis and analysis of the early to middle holocene radiocarbon record for the northern northwest coast of north america: a gap in dated components between similar to 9000 and 8300 cal bp,journal of island \& coastal archaeology,10.1080/15564894.2019.1659883,2,2021,6,0.7068542887126603,0.2885085574572127
ciofalo_late_2019,ciofalo aj;sinelli pt;hofman cl,late precolonial culinary practices: starch analysis on griddles from the northern caribbean,journal of archaeological method and theory,10.1007/s10816-019-09421-1,3,2019,2,0.7461929803464314,0.3863080684596577
raffield_playing_2019,raffield b,"playing vikings militarism, hegemonic masculinities, and childhood enculturation in viking age scandinavia",current anthropology,10.1086/706608,6,2019,79,0.6312999371155744,0.019559902200488997
he_cultural_2020,he ky;lu hy;li yn;ding j;wang c,cultural response to middle holocene sea-level fluctuations in eastern china: a multi-proxy approach,boreas,10.1111/bor.12421,2,2020,47,0.6774457170447803,0.1784841075794621
liritzis_disaster_2019,liritzis i;westra a;miao c,disaster geoarchaeology and natural cataclysms in world cultural evolution: an overview,journal of coastal research,10.2112/jcoastres-d-19-00035.1,2,2019,27,0.5685924337469425,0.019559902200488997
kadowaki_lithic_2019,kadowaki s;tamura t;sano k;kurozumi t;maher la;wakano jy;omori r;hirose m;massadeh s;henry do,"lithic technology, chronology, and marine shells from wadi aghar, southern jordan, and initial upper paleolithic behaviors in the southern inland levant",journal of human evolution,10.1016/j.jhevol.2019.102646,4,2019,24,0.7025144948026563,0.1295843520782396
lyman_misunderstanding_2019,lyman rl,misunderstanding graphs: the confusion of biological glade diversity diagrams and archaeological frequency seriation diagrams,studies in history and philosophy of science part c-studies in history and philosophy of biological and biomedical sciences,10.1016/j.shpsc.2019.101178,3,2019,60,0.7974024298292232,0.5990220048899756
neninger_vega_bond_2019,neninger vega b;moya padilla ne,bond family nets and music. brief theoretical boarding,revista universidad y sociedad,NA,NA,NA,NA,NA,NA
